Date,App Name,Android App Rating,Android Total Reviews,Android Detailed App Rating,1 Star Reviews (Phone),2 Star Reviews (Phone),3 Star Reviews (Phone),4 Star Reviews (Phone),5 Star Reviews (Phone),Android App Category,Timestamp
2023-08-01,Go Kinetic by Windstream,4.5,21838,4.51348876953125,1357,168,688,3245,15961,BUSINESS,2023-08-01 12:42:05.509607
2023-08-01,My altafiber,4.3,387,4.260000228881836,36,14,10,36,273,PRODUCTIVITY,2023-08-01 12:42:05.509607
2023-08-01,Spectrum Access: Enabled Media,4.4,159,4.420000076293945,8,2,10,21,100,ENTERTAINMENT,2023-08-01 12:42:05.509607
2023-08-01,Cox,4.5,95397,4.457789897918701,6509,1435,4255,11381,69464,PRODUCTIVITY,2023-08-01 12:42:05.509607
2023-08-01,My Verizon,4.6,1022948,4.612321376800537,38382,7889,31061,154622,774004,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,myCricket,4.1,192976,4.130091667175293,27689,6431,8992,19437,129619,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,MyDISH,3.6,62198,3.642103672027588,15771,2870,2527,4773,34141,COMMUNICATION,2023-08-01 12:42:05.509607
2023-08-01,T-Mobile,3.6,796428,3.6260972023010254,206496,31247,41842,70573,425406,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,Xfinity Mobile,3.2,13143,3.1970369815826416,4479,812,921,961,5609,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,Spectrum News: Local Stories,4.1,5807,4.099485397338867,681,270,400,831,3247,NEWS_AND_MAGAZINES,2023-08-01 12:42:05.509607
2023-08-01,My Spectrum,4.6,675236,4.630809783935547,13987,5186,30553,109980,497371,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,My Sprint,4.1,144807,4.135916709899902,19219,3960,7810,19753,92743,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,Verizon My Fios,4.3,81039,4.348484992980957,7303,1795,3802,9269,55841,ENTERTAINMENT,2023-08-01 12:42:05.509607
2023-08-01,My CenturyLink,4.1,57434,4.061117649078369,8357,1787,3284,7598,34948,PRODUCTIVITY,2023-08-01 12:42:05.509607
2023-08-01,Visible mobile,4.2,31010,4.191408634185791,3451,946,1873,4339,20051,COMMUNICATION,2023-08-01 12:42:05.509607
2023-08-01,SpectrumU,4.4,312,4.441176414489746,15,7,15,25,191,ENTERTAINMENT,2023-08-01 12:42:05.509607
2023-08-01,Spectrum TV,4.6,238312,4.6049370765686035,6271,2076,8104,28805,148368,ENTERTAINMENT,2023-08-01 12:42:05.509607
2023-08-01,myAT&T,2.9,287805,2.9343085289001465,117574,19113,16378,20283,105320,PRODUCTIVITY,2023-08-01 12:42:05.509607
2023-08-01,Spectrum SportsNet: Live Games,3.2,1579,3.229729652404785,511,42,74,159,638,SPORTS,2023-08-01 12:42:05.509607
2023-08-01,MediacomConnect,3.5,12876,3.4843993186950684,3275,914,873,1587,5938,PRODUCTIVITY,2023-08-01 12:42:05.509607
2023-08-01,myMetro,4.0,381492,4.0168776512146,64811,12509,20661,36323,246809,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,MyFrontier,4.4,40805,4.377113342285156,3055,741,2253,5530,27501,COMMUNICATION,2023-08-01 12:42:05.509607
2023-08-01,Xfinity,3.5,166765,3.521094799041748,44846,8708,9573,15747,82318,PRODUCTIVITY,2023-08-01 12:42:05.509607
2023-08-01,Google Fiber,3.7,1239,3.721311569213867,263,60,90,90,670,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,My Viasat,3.7,3084,3.6688311100006104,739,79,219,429,1539,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,Armstrong,4.2,518,4.150000095367432,61,9,28,71,304,PRODUCTIVITY,2023-08-01 12:42:05.509607
2023-08-01,Astound Mobile,Not Available,Not Available,Not Available,,,,,,COMMUNICATION,2023-08-01 12:42:05.509607
2023-08-01,HughesNet Mobile,2.8,1643,2.7516777515411377,744,88,99,99,522,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,HT My Account,2.5,36,2.5,18,3,3,0,9,PRODUCTIVITY,2023-08-01 12:42:05.509607
2023-08-01,Midco My Account,2.3,289,2.3399999141693115,165,16,11,11,75,ENTERTAINMENT,2023-08-01 12:42:05.509607
2023-08-01,UScellular™ – My Account,4.2,21987,4.164614677429199,2367,609,1888,2936,13616,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,My SECTV,1.8,26,1.7999999523162842,17,1,0,1,4,ENTERTAINMENT,2023-08-01 12:42:05.509607
2023-08-01,Optimum TV,3.6,3036,3.6163933277130127,559,159,219,309,1260,ENTERTAINMENT,2023-08-01 12:42:05.509607
2023-08-01,Breezeline TV,2.1,216,2.069999933242798,122,7,7,1,38,ENTERTAINMENT,2023-08-01 12:42:05.509607
2023-08-01,My Blue Ridge,4.4,952,4.400000095367432,81,27,18,90,690,TOOLS,2023-08-01 12:42:05.509607
2023-08-01,myBuckeye,3.1,87,3.1034483909606934,33,5,2,10,33,COMMUNICATION,2023-08-01 12:42:05.509607
2023-08-01,Mint Mobile,3.5,11067,3.517857074737549,2991,708,572,958,5733,TOOLS,2023-08-01 12:42:05.509607
