Date,App Name,Android App Rating,Android Total Reviews,Android Detailed App Rating,1 Star Reviews (Phone),2 Star Reviews (Phone),3 Star Reviews (Phone),4 Star Reviews (Phone),5 Star Reviews (Phone),Android App Category,Timestamp
2023-07-07,Go Kinetic by Windstream,4.5,21587,4.508529186248779,1388,158,668,3107,15852,BUSINESS,2023-07-07 20:00:39.440087
2023-07-07,My altafiber,4.2,353,4.199999809265137,35,9,12,39,239,PRODUCTIVITY,2023-07-07 20:00:39.440087
2023-07-07,Spectrum Access: Enabled Media,4.5,158,4.465346336364746,7,2,10,21,102,ENTERTAINMENT,2023-07-07 20:00:39.440087
2023-07-07,Cox,4.5,93465,4.472697734832764,6035,1424,4081,11247,68394,PRODUCTIVITY,2023-07-07 20:00:39.440087
2023-07-07,My Verizon,4.6,1016710,4.62289571762085,36056,7519,30297,153588,772594,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,myCricket,4.1,191759,4.133752346038818,27748,6208,8673,18870,129459,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,MyDISH,3.7,61916,3.653413772583008,15550,2838,2505,4728,34192,COMMUNICATION,2023-07-07 20:00:39.440087
2023-07-07,T-Mobile,3.6,795713,3.6338019371032715,204466,31072,42055,71148,426141,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,Xfinity Mobile,3.2,13032,3.192488193511963,4484,815,886,978,5514,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,Spectrum News: Local Stories,4.1,5783,4.084921836853027,689,289,419,780,3231,NEWS_AND_MAGAZINES,2023-07-07 20:00:39.440087
2023-07-07,My Spectrum,4.6,660385,4.633841037750244,13118,4921,30317,108082,486331,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,My Sprint,4.1,144811,4.1402812004089355,19072,3930,7832,19788,92866,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,Verizon My Fios,4.3,80127,4.3394551277160645,7328,1784,3699,9173,55174,ENTERTAINMENT,2023-07-07 20:00:39.440087
2023-07-07,My CenturyLink,4.1,56994,4.0675177574157715,8320,1664,3099,7722,34749,PRODUCTIVITY,2023-07-07 20:00:39.440087
2023-07-07,Visible mobile,4.2,30190,4.18289852142334,3383,1016,1844,4280,19336,COMMUNICATION,2023-07-07 20:00:39.440087
2023-07-07,SpectrumU,4.5,311,4.475247383117676,12,7,15,25,194,ENTERTAINMENT,2023-07-07 20:00:39.440087
2023-07-07,Spectrum TV,4.6,234455,4.615187644958496,5689,1875,7770,28509,146679,ENTERTAINMENT,2023-07-07 20:00:39.440087
2023-07-07,myAT&T,2.9,286967,2.9479987621307373,115865,18965,16315,20703,106024,PRODUCTIVITY,2023-07-07 20:00:39.440087
2023-07-07,Spectrum SportsNet: Live Games,3.2,1574,3.229729652404785,504,52,73,157,631,SPORTS,2023-07-07 20:00:39.440087
2023-07-07,MediacomConnect,3.5,12829,3.4913792610168457,3233,913,853,1536,6004,PRODUCTIVITY,2023-07-07 20:00:39.440087
2023-07-07,myMetro,4.0,380696,4.032269477844238,63366,12433,20529,36189,247801,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,MyFrontier,4.1,38288,4.146073341369629,4857,1024,2030,4718,24022,COMMUNICATION,2023-07-07 20:00:39.440087
2023-07-07,Xfinity,3.5,161417,3.523252248764038,43562,8380,9348,14784,80040,PRODUCTIVITY,2023-07-07 20:00:39.440087
2023-07-07,Google Fiber,3.8,1229,3.8016529083251953,261,49,79,99,675,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,My Viasat,3.6,3046,3.6393442153930664,747,68,218,457,1475,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,Armstrong,4.1,505,4.110000133514404,59,13,27,78,284,PRODUCTIVITY,2023-07-07 20:00:39.440087
2023-07-07,Astound Mobile,Not Available,Not Available,Not Available,,,,,,COMMUNICATION,2023-07-07 20:00:39.440087
2023-07-07,HughesNet Mobile,2.8,1636,2.804054021835327,713,87,109,98,538,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,HT My Account,2.5,36,2.5,18,3,3,0,9,PRODUCTIVITY,2023-07-07 20:00:39.440087
2023-07-07,Midco My Account,2.4,282,2.369999885559082,161,16,10,10,73,ENTERTAINMENT,2023-07-07 20:00:39.440087
2023-07-07,Optimum Support,2.6,1305,2.572519063949585,703,29,59,59,381,PRODUCTIVITY,2023-07-07 20:00:39.440087
2023-07-07,UScellular™ – My Account,4.1,21287,4.124413013458252,2434,595,1837,2961,12908,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,My SECTV,1.8,26,1.7999999523162842,17,1,0,1,4,ENTERTAINMENT,2023-07-07 20:00:39.440087
2023-07-07,Optimum TV,3.7,2990,3.6655519008636475,565,129,198,297,1280,ENTERTAINMENT,2023-07-07 20:00:39.440087
2023-07-07,Breezeline TV,2.1,215,2.0990099906921387,121,7,7,1,38,ENTERTAINMENT,2023-07-07 20:00:39.440087
2023-07-07,My Blue Ridge,4.3,932,4.346534729003906,71,53,26,97,640,TOOLS,2023-07-07 20:00:39.440087
2023-07-07,myBuckeye,3.1,84,3.1190476417541504,32,4,2,10,32,COMMUNICATION,2023-07-07 20:00:39.440087
2023-07-07,Mint Mobile,3.6,10806,3.649613857269287,2604,624,614,989,5875,TOOLS,2023-07-07 20:00:39.440087
