Date,App Name,iOS App Rating,iOS Total Reviews,iOS App Rank,iOS App Category,Timestamp
2023-08-01,Go Kinetic by Windstream,4.8,63102,,Business,2023-08-01 12:42:05.509607
2023-08-01,My altafiber,4.8,4621,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,Spectrum Access: Enabled Media,4.5,124,,Entertainment,2023-08-01 12:42:05.509607
2023-08-01,Cox App,4.6,408786,115.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,My Verizon,4.6,4775300,15.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,myCricket App,4.5,43781,94.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,MyDISH Account,4.6,324935,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,T-Mobile,4.8,2412813,4.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,Xfinity Mobile,4.8,42832,105.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,Spectrum News: Local Stories,4.7,25808,85.0,News,2023-08-01 12:42:05.509607
2023-08-01,My Spectrum,4.8,2052966,12.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,My Sprint Mobile,4.5,1047093,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,Verizon My Fios,4.5,260032,118.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,My CenturyLink,4.4,117335,178.0,Productivity,2023-08-01 12:42:05.509607
2023-08-01,Visible mobile,4.4,81808,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,SpectrumU,4.3,176,,Entertainment,2023-08-01 12:42:05.509607
2023-08-01,Spectrum TV,4.7,417324,67.0,Entertainment,2023-08-01 12:42:05.509607
2023-08-01,myAT&amp;T,4.0,3991125,17.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,Spectrum SportsNet: Live Games,4.6,4256,,Sports,2023-08-01 12:42:05.509607
2023-08-01,MediacomConnect,3.3,6643,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,MyMetro,2.8,3184,61.0,Business,2023-08-01 12:42:05.509607
2023-08-01,MyFrontier,4.4,46161,192.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,Xfinity,4.4,895156,7.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,Google Fiber,3.9,461,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,My Viasat,4.2,1661,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,Armstrong,3.6,15,,Productivity,2023-08-01 12:42:05.509607
2023-08-01,Astound Mobile,5.0,1,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,HughesNet Mobile,1.8,315,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,HT My Account,1.6,20,,Business,2023-08-01 12:42:05.509607
2023-08-01,Midco My Account,1.5,26,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,My Optimum,4.7,38,32.0,Utilities,2023-08-01 12:42:05.509607
2023-08-01,UScellular™ – My Account,4.4,29955,,Productivity,2023-08-01 12:42:05.509607
2023-08-01,SE Next powered by Tivo,2.9,10,,Entertainment,2023-08-01 12:42:05.509607
2023-08-01,Optimum TV,4.6,13899,,Entertainment,2023-08-01 12:42:05.509607
2023-08-01,Breezeline TV,1.2,42,,Entertainment,2023-08-01 12:42:05.509607
2023-08-01,My Blue Ridge,4.6,3401,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,myBuckeye,2.4,24,,Utilities,2023-08-01 12:42:05.509607
2023-08-01,Mint Mobile,4.7,81823,67.0,Utilities,2023-08-01 12:42:05.509607
