Date,App Name,iOS App Rating,iOS Total Reviews,iOS App Rank,iOS App Category,Timestamp
2023-07-07,Go Kinetic by Windstream,4.8,62147,,Business,2023-07-07 20:00:39.440087
2023-07-07,My altafiber,4.8,4482,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Spectrum Access: Enabled Media,4.5,123,,Entertainment,2023-07-07 20:00:39.440087
2023-07-07,Cox App,4.6,401923,90.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,My Verizon,4.6,4761210,10.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,myCricket App,4.5,43373,88.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,MyDISH Account,4.6,323150,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,T-Mobile,4.8,2412845,4.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Xfinity Mobile,4.8,42802,83.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Spectrum News: Local Stories,4.7,25202,79.0,News,2023-07-07 20:00:39.440087
2023-07-07,My Spectrum,4.8,2022959,9.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,My Sprint Mobile,4.5,1047215,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Verizon My Fios,4.5,258648,96.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,My CenturyLink,4.4,116444,146.0,Productivity,2023-07-07 20:00:39.440087
2023-07-07,Visible mobile,4.4,78910,149.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,SpectrumU,4.3,176,,Entertainment,2023-07-07 20:00:39.440087
2023-07-07,Spectrum TV,4.7,413604,58.0,Entertainment,2023-07-07 20:00:39.440087
2023-07-07,myAT&amp;T,4.0,3991306,14.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Spectrum SportsNet: Live Games,4.6,4185,176.0,Sports,2023-07-07 20:00:39.440087
2023-07-07,MediacomConnect,3.3,6617,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,MyMetro,2.8,3147,58.0,Business,2023-07-07 20:00:39.440087
2023-07-07,MyFrontier,4.4,45250,147.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Xfinity,4.4,882639,5.0,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Google Fiber,3.7,377,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,My Viasat,4.2,1636,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Armstrong,3.6,15,,Productivity,2023-07-07 20:00:39.440087
2023-07-07,Astound Mobile,5.0,1,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,HughesNet Mobile,1.8,310,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,HT My Account,1.6,20,,Business,2023-07-07 20:00:39.440087
2023-07-07,Midco My Account,1.5,26,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Optimum Support,1.4,1381,,Productivity,2023-07-07 20:00:39.440087
2023-07-07,UScellular™ – My Account,4.4,28734,,Productivity,2023-07-07 20:00:39.440087
2023-07-07,SE Next powered by Tivo,2.9,10,,Entertainment,2023-07-07 20:00:39.440087
2023-07-07,Optimum TV,4.6,13549,,Entertainment,2023-07-07 20:00:39.440087
2023-07-07,Breezeline TV,1.2,40,,Entertainment,2023-07-07 20:00:39.440087
2023-07-07,My Blue Ridge,4.6,3329,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,myBuckeye,2.5,23,,Utilities,2023-07-07 20:00:39.440087
2023-07-07,Mint Mobile,4.7,78284,50.0,Utilities,2023-07-07 20:00:39.440087
